tokens,labels
"['music', 'pick', 'r', 'kelly', 'leonard', 'cohen', 'cat', 'power', 'fri', 'grace', 'potter', 'nocturnals', 'wiltern', 'anyone', '...']",neu
"['bad', 'girl', 'club', 'mexico', '...', 'official', 'now', 'meaning', 'girl', 'going', 'can not', 'wait', 'monday', 'd']",pos
"['just', 'close', 'eye', 'sun', 'going', 'you will', 'alright', 'no', 'one', 'can', 'hurt', 'now', 'come', 'morning', 'light', 'i will', 'safe', 'sound', '#np']",pos
"['it is', 'republic', 'day', 'turkey', 'like', 'july', 'usa']",neu
"['it is', 'not', 'fair', 'dear', '...', '#truthbetold', 'will', 'available', 'taiwan', 'nov', 'it is', 'tomorrow']",neg
"['proper', 'buzzing', 'watch', 'vow', 'tomorrow', ';)']",pos
"['that is', 'complete', 'crap', 'began', 'sadat', 'peace', 'bibi', 'want', 'use', 'military', 'free', 'c amon']",neg
"['mariah', 'song', 'night', 'nooooooooo', 'bad', '#xfactor']",neg
"['noel', 'gallagher is', 'hfb', 'kopparberg', 'make', 'damn', 'near', 'perfect', 'saturday', 'evening', 'perfect', 'noel', 'gig']",pos
"['tomorrow', 'opportunity', 'love', 'continues', 'boy', 'girl', 'club', 'jefferson', 'meet', 'u', 'w', 'boot', 'glove', 'possible']",pos
"['mt', 'baltimore', 'sun', 'reporting', 'redskin', 'just', 'cundiff-ed', 'billy', 'cundiff']",neu
"['i am', 'excited', 'i am', 'gonna', 'meet', 'buddy', 'cake', 'bos', 'ruth', 'eckerd', 'hall', 'grammy', 'jan', 'can not', 'wait']",pos
"['read', 'charles', 'dickens', 'homework', 'may', 'greatest', 'thing', 'ever']",pos
"['billy', 'cundiff', 'missed', 'fg', 'end', 'quarter', 'changed', 'game', 'he will', 'never', 'play']",neg
"['i have', 'never', 'actually', 'sat', 'watched', 'whole', 'movie', 'notebook', '...', 'dont', 'like', 'movie']",neg
"['ligue', 'nadal', 'watch', 'psg', 'go', 'top', 'paris', 'st', 'germain', 'went', 'top', 'ligue', 'saturday', 'kevin', 'game', '...']",neu
"['nooooooooo', 'just', 'seen', 'fa', 'cup', 'round', 'day', 'go', 'skiing', '#peak']",neu
"['happy', 'late', 'start', 'tomorrow', '...', 'nooooooooo', 'go', 'catch', 'day', 'failed', 'fcking', 'french', 'test']",neg
"['pacino', 'might', 'play', 'paterno', 'psu', 'movie', 'it will', 'movie', 'career', 'w', 'phrase', 'say', 'hello', 'little', 'friend', '#scarfacial']",neu
"['lol', 'actually', 'live', 'georgia', 'moving', 'germany', 'march', 'miss', 'tooooooo']",pos
"['oh', 'yes', 'never', 'dull', 'moment', 'looking', 'forward', 'just', 'rafa', 'bronte', 'tomorrow', 'nice', 'busy', 'though', 'hope', 'boy', 'ok']",pos
"['i am', 'not', 'gon', 'believe', 'victor', 'cruz', 'real', 'deal', 'line', 'outside', 'no', 'slot', 'does not', 'disappear', 'like', 'sunday']",neg
"['come', 'watch', 'will', 'ferrell', 'zach', 'galifanakis', 'duke', 'campaign', 'thursday', 'midnight']",neu
"['may', 'day', 'full', 'joy', 'happiness', 'happy', 'birthday', 'nick', 'j', 'happy']",pos
"['just', 'may', 'person', 'still', 'play', 'temple', 'run']",neu
"[""should'nt"", 'watched', 'grey', 'last', 'night', 'walking', 'dark', 'driveway', 'sun', 'decides', 'play', 'hookie', 'not', 'good', 'time']",neg
"['steelers', 'will', 'travel', 'new', 'york', 'sunday', 'giant', 'game', 'pittsburgh', 'steelers', 'face', 'new', 'york', 'giant', '...']",neu
"['movie', 'day', 'grammy is', 'hot', 'chocolate', 'tomorrow', '...', '#pleaseohplease']",pos
"['sat', 'work', 'will', 'ferrell', 'boxset', '...', 'might', 'put', 'film', 'power', 'nap', 'sit', 'nothing', 'sound', 'good']",pos
"['nigga', 'boutta', 'droppin', 'like', 'fly', 'georgetown', 'tomorrow', 'wont', 'catchh']",neg
"['going', 'bell', 'game', 'tomorrow']",neu
"['hacker', 'already', 'defeated', 'window', 'readwrite', 'mobile', 'ranked', 'interface', 'design', 'behind', 'io', 'android']",neg
"['wrote', 'earlier', 'agree', 'kg', 'may', 'le', 'likeable', 'ray', 'lewis']",neu
"['play', 'temple', 'run', 'watch', 'himym', 'season', 'orrrrr', '...', 'sleep', 'readiness', 'tomorrow is', 'morning', 'interview', 'decision', 'hard', 'make', 'sad']",neg
"['heard', 'old', 'crush', 'going', 'bell', 'game', 'tomorrow', 'wanna', 'talk', 'wtf', 'o', '#weird']",neg
"['i am', 'nikon', 'guy', 'interested', 'say', 'tomorrow', '...']",pos
"['want', 'go', 'watch', 'denzel is', 'new', 'movie', 'tomorrow', 'someone', 'take', 'meeeeeeeeeee']",neu
"['watching', 'punisher', 'wish', 'they would', 'make', 'another', 'one', 'quentin', 'tarentino', 'directing', 'thomas', 'jane', 'castle']",pos
"['downloading', 'different', 'version', 'greek', 'alphabet', 'song', 'listen', 'repeat', 'thursday', 'night', '..', 'life', 'now', '..']",neu
"['anyone', 'year', 'that is', 'gunna', 'see', 'woman', 'black', 'need', 'give', 'money', 'mchale', 'tomorrow', 'spread', 'word', 'please']",neu
"['buzzer', 'beater', 'jump', 'shot', 'parker', 'primetime', 'thursday', 'game', '...', 'no', 'way', 'can', 'happen', 'great', 'nba']",neu
"['guarantee', 'gaga', 'debut', 'new', 'single', 'grammys', 'february', 'not', 'opposed', 'even', 'though', 'age', 'away']",neu
"['listen', 'hot', 'stuff', 'thing', 'look', 'forward', 'january', 'raven', 'run', 'superbowl']",pos
"['movie', 'flight', 'denzel', 'look', 'really', 'good', 'may', 'go', 'check']",pos
"['tuesday', 'wednesday', 'champion', 'league', 'match', 'day', 'think', 'might', '..', 'im', 'not', 'sure', 'wooooo', 'hooooo']",pos
"['milk', 'chocolate', 'day', 'tomorrow', 'ready', 'celebrate']",neu
"['aboud', 'el', 'zomour', 'guy', 'killed', 'sadat', 'now', 'attending', 'october', 'celebration', 'cairo', 'stadium', 'shame']",neg
"['shout', 'girl', 'will', 'taking', 'walk', 'shame', 'cv', 'tomorrow', 'plan', 'b', '#dressinglikeaslutcomeswithaprice']",neu
"['australia', 'day', 'international', 'kick-start', 'ultimate', 'australia', 'day', 'long', 'weekend', 'sat', 'jan']",neu
"['just', 'spartacus', 'sauna', '...', 'imma', 'sore', 'tomorrow', 'worth']",pos
"['twilight', 'zone', 'inning', 'ground', 'hog', 'day', 'inning', 'may', 'go', '. . . .', 'just', 'keeping', 'hittin', '#rays']",pos
"['storm', 'will', 'moving', 'inland', 'cny', 'tomorrow', 'that is', 'i will', 'get', 'worried', 'family', 'living', 'right', 'oneida', 'lake']",neg
"['championship', 'team', 'news', 'bellamy', 'frame', 'cardiff', 'team', 'news', 'saturday is', 'championship', '...', '#mogganaut']",neu
"['omg', 'bullet', 'valentine', 'coming', 'netherlands', 'march', 'might', 'attend', 'one', ':p']",neu
"['january', 'jones', 'jason', 'wu', 'usually', 'adore', 'january is', 'red', 'carpet', 'look', 'is not', 'nude', 'black', 'mesh', 'meh']",neg
"['cult', 'viewing', 'form', 'day', 'vic is', 'big', 'night', 'channel', 'comedy', 'sport', 'base', 'covered']",pos
"['you are', 'maryland', 'early', 'voting', 'extended', 'tomorrow', 'please', 'go', 'vote']",neu
"['team', 'took', 'dump', 'round', 'big', 'dance', 'ku', 'flaming', 'ucla', 'mizzou', 'losing', 'northern', 'iowa']",neg
"['c amon', 'cam', 'panther', 'u', 'r', 'missing', 'link', 'quinfecta', 'weekend', 'hard', '...', 'app', 'win', 'unc', 'win', 'state', 'loss', 'dook', 'loss', 'panther', 'win']",neu
"['free', 'hugging', 'day', 'tapos', 'may', 'free', 'kissing', 'day', 'o', 'o', 'kailan', 'na', 'ang', 'malanday']",neu
"['cupid', 'much', 'work', 'da', 'time', 'do not', 'wanna', 'friend', 'no']",neg
"['need', 'nice', 'can', 'want', 'play', 'penny', 'can', 'saturday', 'real', 'problem', 'cougar', 'town', 'just', 'made', 'love', 'game', 'haha']",pos
"['will', 'not', 'able', 'handle', 'harry is', 'voice', 'kiss', '..', 'may', 'not', 'survive', 'hearing', 'song', 'take', 'home', 'entirety']",neg
"['ready', 'tune', 'watch', 'thursday', 'night', 'comedy', 'channel', 'tv', 'guide', 'tell', 'voice', '...', 'dammit']",neu
"['incredible', 'pas', 'vick', 'kyle', 'williams', 'williams', 'jump', 'carr', 'end', 'zone']",pos
"['damn', 'do not', 'wanna', 'get', 'computer', 'tomorrow', 'sad', 'harry', 'feel', 'control', 'outtake', 'video', 'broke']",neg
"['thursday', 'morning', 'freestyle', 'im', 'rap', 'game', 'white', 'larry', 'bird']",neu
"['next', 'sunday', 'penciled', 'harvey', 'meet', 'lawson-mckennas', 'royal', 'rumble']",neu
"['congratulation', 'celebrating', 'british', 'kid', 'singer', 'sophia', 'grace is', 'rosie is', 'anniversary', 'visit', 'show']",pos
"['fucking', 'part', 'time', 'fan', 'boro', 'away', 'saturday']",neg
"['tomorrow', '...', 'i am', 'air', 'live', 'wjct', 'radio', 'tv', 'taping', 'good', 'morning', 'jacksonville', '#excitingtimes']",pos
"['i am', 'last', 'episode', 'time', 'still', 'want', 'bootfuck', 'phil', 'johnny', 'sac', 'every', 'time', 'talk']",neg
"['hey', 'mick', 'know', 'time', 'you will', 'signing', 'indianapolis']",neu
"['celebrity', 'juice', 'highlight', 'thursday', 'night', '..', 'keith', 'lemmon', 'hilarious', 'hahaha']",pos
"['waiting', 'highlight', 'thursday', 'night', 'celebrity', 'juice', '#nolife']",pos
"['pierce', 'veilrt', 'miss', 'may', 'irt', 'lagu', 'demen', 'bullet', 'valentine', 'hbu']",neu
"['northern', 'light', 'sale', 'tomorrow', 'following', 'wexham', 'cup', 'bull', 'sale', 'sale', 'elite', 'female', 'holstein', 'jersey', 'real', 'treat', 'sale', 'no', 'trick']",pos
"['ben', 'said', 'bicester', 'full', 'chavs', 'well', 'i am', 'currently', 'sat', 'last', 'year', 'cast', 'jeremy', 'kyle', 'uh', 'hypocritical', 'much']",neu
"['bay', 'area', 'head', 'i will', 'piano', 'yoshi is', 'san', 'fran', 'sunday', 'playing', 'one', 'n', 'dwight', 'trible']",neu
"['bey', 'performing', 'superbowl', 'feb', 'i am', 'assuming', 'new', 'material', 'coming', 'month', 'hand', 'album', 'grammy is']",neu
"['adam', 'levine', 'strike', 'pose', 'photographer', 'outside', 'late', 'show', 'david', 'letterman', 'thursday', 'october', 'new', 'york', 'city']",neu
"['still', 'writing', 'christmas', 'new', 'year', '...', 'still', 'i will', 'writing', 'valentine is', 'day', 'december', '#dafuzz']",neu
"['happy', 'valentine is', 'day', 'trending', '...', 'it is', 'not', 'even', 'february']",neg
"['hi', 'memi', 'thanks', 'agreeing', 'lead', 'sag', 'available', 'sun', 'sun', 'dec', 'rather', 'nov', 'just', 'learned', '...']",pos
"['ready', 'done', 'class', 'tomorrow', 'head', 'chapel', 'hill', 'support', 'favorite', '#wuwbb', 'lady']",pos
"['sunday', 'come', 'watch', 'raven', 'take', 'brown', 'help', 'support', 'baltimore', 'humane', 'society', 'captain', '...']",pos
"['oh', 'good', 'cry', 'she is', 'blake', 'fan', 'happy', 'taylor', 'did not', 'win', 'year', 'row']",pos
"['ac', 'milan', 'reportedly', 'want', 'miralem', 'pjanic', 'join', 'san', 'siro', 'january', '#footballfanatic']",neu
"['even', 'you have', 'bought', 'investment', 'home', 'harry', 'style', 'sakina', 'call', 'niall', 'sayang', 'abang', 'cause', 'kahwined', 'omf']",neu
"['mom', 'work', 'mother', 'girl', 'won', 'homecoming', 'queen', 'ph', 'last', 'friday', 'company', 'just', 'sent', 'sweetest', 'email']",pos
"['badly', 'miss', 'andy', 'carroll', 'knowing', 'derby', 'game', 'tomorrow', 'always', 'played', 'well', 'scored', 'blue', 'nose']",pos
"['ticket', 'france', 'belgium', 'netherlands', 'germany', 'denmark', 'norway', 'sweden', 'tmh', 'tour', 'go', 'sale', 'tomorrow', 'good', 'luck', 'happy']",pos
"['bell', 'game', 'tomorrow', 'though']",neu
"['new', 'live', 'sound', 'webinar', 'tomorrow', 'pst', 'paul', 'david', 'hager', 'goo', 'goo', 'doll', 'avril', 'lavigne', 'devo', 'register', 'now']",neu
"['#tech', 'apple', 'ceo', 'apologizes', 'error-ridden', 'new', 'map', 'app', 'apple', 'ceo', 'tim', 'cook', 'apologized', 'friday', 'company', '...']",neg
"['attend', 'champ', 'fri', 'sat', 'sun', 'top', 'roller', 'derby', 'team', 'world', 'play', 'indianapolis', 'm', 'friday']",pos
"['someone', 'come', 'noel', 'fielding', 'saturday', 'night', 'noel', 'fielding', 'basically', '#please', '#iwillcry']",neu
"['premier', 'league', 'west', 'ham', 'v', 'man', 'city', 'saturday', 'preview', 'look', 'stats', 'interesting', 'betting', 'tip']",pos
"['preordered', 'thursday', 'friday', 'midnight', 'night', 'came', 'able', 'pre-order', 'love', 'frankie', 'x']",pos
"['loving', 'opening', 'debate', 'rap', 'game', 'kathy', 'crowley', 'october', 'bruno', 'mar']",pos
"['go', 'boro', 'may', 'force', 'second', 'last']",pos
"['congratulation', 'kendall', 'germany', 'clock', 'friday', 'november', 'happy', 'b-day']",pos
"['nerve', 'i would', 'buy', 'joe', 'pa', 'cutout', 'middletown', 'campus', 'n', 'go', 'n', 'maclay', 'sneak', 'gov', 'mansion', 'gate', '...']",neu
"['well', 'better', 'dancing', ':d', 'no', 'went', 'cray', 'nigga', 'paris', 'happy', 'feel', 'like', 'death']",pos
"['kendrick', 'perkins', 'may', 'worst', 'goatee', 'sport']",neg
"['nothing', 'going', 'change', 'now', 'wednesday', 'acta', 'went', 'long', 'w', 'o', 'canned', 'might', 'well', 'finish', 'season', 'w']",neu
"['friday is', 'cnet', 'update', 'playing', 'one', 'republic', 'apple', 'ceo', 'say', 'sorry', 'io', 'map', 'mess', 'apple', 'ceo', 'tim', 'cook', 'said', 'extremely', 'sorr']",neg
"['tomorrow', 'going', 'fun-filled', 'day', 'emailing', 'people', 'can', 'come', 'back', 'murray', 'spring', '#stressful']",pos
"['proud', 'huge', 'upset', 'maryland', 'time', 'u', 'tomorrow', 'night', '#godeacs']",pos
"['rugby', 'great', 'winter', 'sport', 'gaa', 'lady', 'looking', 'keep', 'fitness', 'come', 'along', 'friday', 'kilkenny', 'rfc', 'try']",pos
"['aw', 'lucky', 'sat', 'aunt is', 'couch', 'somewhere', 'germany', 'time', 'watching', 'livestream', 'bawling', 'eye', 'omg']",pos
"['think', 'knew', 'come', 'sat', 'yr', 'watching', 'hatred', 'potus', 'build']",neg
"['just', 'remembered', 'nigga', 'paris', 'song', 'delighted', 'saturday', '#positivetroll']",pos
"['avril', 'lavigne', 'concert', 'tomorrow', 'night', 'park', 'sonic is', 'opening', 'wanna', 'come']",neu
"['mine', 'just', 'went', 'back', 'nikon', 'time', 'shutter', 'bounce', 'came', 'back', 'day', 'scratched', 'baseplate', 'fun']",neu
"['emotionally', 'intelligent', 'organisation', 'mindfulness', 'find', 'san', 'fran', 'dec', 'pls', 'rt']",pos
"['takbir', 'dr', 'mohamed', 'morsi', 'announced', 'egypt is', 'elected', 'president', 'glorious', 'jan', 'revolution', 'congratulation', 'egypt']",pos
"['gop', 'set', 'bar', 'low', 'cycle', 'promoting', 'grossly', 'un-american', 'idea', 'potus', 'elected', 'autocrat']",neg
"['defense', 'love', 'dickens', 'original', 'may', 'regarded', 'unnecessarily', 'high', 'eye', 'history']",neu
"['tonight', 'wed', 'mike', 'slo-mo', 'brenner', 'solo', 'opening', 'jim', 'white', 'tin', 'angel', 'm', 'c amon', '...']",neu
"['dtn', 'kazakhstan', 'capello', 'ill', 'tweak', 'lineup', 'azerbaijan', 'gamecoach', 'fabio', 'capello', 'said', 'monday', 'will', 'tweak', '...']",neu
"['spending', 'last', 'night', 'indianapolis', 'mom', 'cousin', 'headed', 'idaho', 'tomorrow']",neu
"['well', 'i am', 'currently', 'holiday', 'portugal', 'coming', 'home', 'tomorrow', 'going', 'poland', 'tuesday', 'holocaust', 'memorial', 'trip']",neu
"['watch', 'half', 'season', 'breaking', 'bad', 'long', 'flight', 'hong', 'kong', '#buzzin']",neu
"['may', 'ask', 'doctor', 'ambien', 'election', 'night', 'i would', 'rather', 'sleep', 'hope', 'wake', 'footage', 'mitt', 'cry', 'loss']",neg
"['cheaper', 'carbon', 'replaces', 'silicon', 'solar', 'panel', 'washington', 'nov', 'ians', 'researcher', 'built', 'first', 'solar', '...']",neu
"['can not', 'wait', 'hear', 'tomorrow', 'cmag', 'meeting', 'horny', 'coni', 'report', 'baages', 'wait', 'watch', 'will', 'grilled', 'tomorrow', 'cmag', 'hope']",neg
"['it is', 'wednesday', 'know', 'mean', '...', 'new', 'episode', 'challenge', 'battle', 'season', 'american', 'horror', 'story', 'asylum']",neu
"['today', 'national', 'kissing', 'day', 'i will', 'make', 'loss', 'tomorrow']",neu
"['tomorrow', 'last', 'day', 'early', 'voting', 'nevada', 'havent', 'already', 'go', 'vote', 'dont', 'wait', 'til', 'tues', '...']",neu
"['taiwan', 'win', 'visa', 'free', 'travel', 'u', 'six', 'taiwanese', 'tourist', 'arrived', 'new', 'york', 'thursday', 'first', '...']",neu
"['thought', 'yesterday', 'tuesday', 'i am', 'thinking', 'today', 'will', 'little', 'like', 'movie', 'ground', 'hog', 'day']",neu
"['#betstylelounge', 'saturday', 'will', 'turnt', 'max', 'come', 'see', 'rock', 'king', 'dr']",pos
"['man', 'utd', 'v', 'arsenal', 'sat', 'see', 'best', 'defence', 'afc', 'league', 'conceded', 'p', 'game', 'best', 'attack', 'utd', 'scored', 'p', 'game']",pos
"['watching', 'sunday is', 'harry', 'paul', 'good', 'well-observed', 'fearsomely', 'dry']",pos
"['not', 'live', 'ground', 'hog', 'day', 'do not', 'live', 'victim', 'mentality', 'today', 'b', 'rough', 'tomorrow', 'will not', '#el', '#leadership']",neu
"['thinking', 'harry', 'redknapp', 'job', 'past', 'day', 'now', 'absolute', 'coup', 'c amon', 'shebby']",pos
"['#nowplaying', 'jim', 'white', 'crash', 'sun']",neu
"['remember', 'last', 'new', 'year', 'sat', 'hour', 'watching', 'kasabian', 'live']",neu
"['many', 'rumour', 'floating', 'harry', 'redknapp', 'may', 'interested', 'blackburn', 'job', 'think']",pos
"['new', 'glory', 'gang', 'music', 'janet', 'superbowl', '#soundcloud']",neu
"['bitch', 'just', 'put', 'frog', 'back', 'lmfao', 'throw', 'back', 'thursday']",neg
"['no', 'may', 'not', 'kick', 'tribe', 'called', 'quest', 'answering', 'text', 'billy', 'cundiff']",neg
"['happy', 'valentine is', 'day', 'may', 'one']",pos
"['body', 'exhausted', 'walked', 'jeffery', 'lakefront', 'accidentally', 'sat', 'dead', 'fish', 'king', 'dr', 'back']",neg
"['info', 'taetiseo', 'will', 'perform', 'love', 'asia', 'tomorrow', 'pm', 'kst', 'kb', 'will', 'broadcast', 'concert', 'november', 'pm']",neu
"['game', 'day', '..', 'arsenal', 'lady', 'v', 'turbine', 'potsdam', '..', 'champion', 'league', 'last', 'leg', '..', 'get', 'support', 'gooners', '..', '#uwcl', '#alfc']",neu
"['video', 'game', 'trailer', 'launch', 'trailer', 'check', 'launch', 'trailer', 'mass', 'effect', 'added', 'fri', 'oct', '...']",neu
"['mama', 'going', 'jacksonville', 'saturday', 'go', 'want', 'let', 'i am', 'punishment']",neg
"['great', 'seeing', 'u', 'i am', 'host', 'google', 'hangout', '#romneyrally', 'wednesday', 'u', 'want', 'invite', 'let', 'know', '#lynndebate']",pos
"['nikon', 'proven', 'it is', 'small', 'world', 'latest', '...', 'herald', 'sun']",neu
"['come', 'monday', 'watch', 'woman', 'black', 'w', 'model', 'un', 'free', 'entry', 'concession', 'w', 'donation', '#ssu']",neu
"['nigga', 'paris', 'playing', 'waiting', 'room', 'clinic', 'old', 'lady', 'sat', 'tapping', 'walking', 'stick', 'bobbing', 'head', 'cute']",pos
"['girl', 'front', 'u', 'sat', 'played', 'temple', 'run', 'whole', 'time', 'even', 'come', '#confused']",neg
"['loved', 'hair', 'style', 'friday is', 'jason', 'wu', 'new', 'york', 'fashion', 'week', 'show', 'we are', 'giving', 'step-by-step', '...']",pos
"['chinese', 'top', 'international', 'holiday', 'chinese', 'new', 'year', 'eve', 'chinese', 'new', 'year', 'day', 'chap', 'goh', 'mei', 'day']",neu
"['soon', 'amazon', 'open', 'black', 'friday', 'deal', 'store', 'thanksgiving', 'week', 'away', 'world', 'series', 'ended', 'sund', '...']",neg
"['may', 'true', 'becouse', 'triple', 'h', 'arm', 'broken', 'reel', 'may', 'will', 'come', 'back', 'royal', 'rumble']",neu
"['went', 'see', 'mystery', 'charles', 'dickens', 'playhouse', 'theatre', 'west', 'end', 'last', 'thursday', 'starring', 'simon', 'callow', 'it is', 'must', 'see']",pos
"['oh', 'yay', 'mom', 'just', 'told', 'grammy', 'coming', 'tomorrow', 'woot', 'woot', '#loveher']",pos
"['may', 'little', 'forward', '...', 'secret-country', 'can', 'imagine', 'sex', 'miranda', 'lambert', 'blake', '...']",pos
"['ending', 'grey', 'may', 'one', 'bad', 'as', 'ending', 'movie', 'i have', 'ever', 'seen']",neg
"['totally', 'curious', 'dream', 'high', '..', 'wanna', 'watch', 'drama', 'asap', 'wanna', 'compare', 'one', '..', 'still', 'there', 'loooooooong', 'holiday', 'y']",neu
"['safe', 'sound', 'narita', 'airport', 'feel', 'good', 'back', 'land', 'rising', 'sun']",pos
"['it is', 'early', 'germany', 'american', 'friend', 'just', 'now', 'getting', 'drunk', 'prague', 'knucklehead', 'talk', 'sunday', '#czechrep']",pos
"['can', 'not', 'let', 'let', 'game', 'sunday', 'houston', 'san', 'fran', 'coming', 'gotta', 'focus', 'beating', 'tennessee', '#jayisourqb']",neg
"['who is', 'going', 'israel', 'saturday']",neu
"['iran', 'army', 'monitoring', 'ship', 'gulf', 'tehran', 'oct', 'senior', 'commander', 'islamic', 'revolution', 'guard', 'corp', '...']",neu
"['soul', 'train', 's', 'halloween', 'party', 'sat', 'oct', 'adv', 'tixx', 'wt', 'costume', 'door', '...']",neu
"['cant', 'wait', 'come', 'dublin', 'monday', 'excited', 'see', ':-)']",pos
"['taylor', 'swift', 'co-host', 'grammys', 'll', 'cool', 'j', 'new', 'york', 'oct', 'ani', '):', 'taylor', 'swift', 'chosen', 'present', '...']",neu
"['ah', 'okay', 'hoping', 'see', 'friday', 'next', 'time', 'i am', 'staying', 'harry is', 'meet', 'kingston', 'xx']",pos
"['lol', 'mean', 'pronounce', 'idk', 'either', '..', 'hmm', '...', 'like', 'say', 'like', 'hair-may', 'hair-mess', 'lmfao', 'idk', 'okay', 'xd']",pos
"['lol', 'maybe', 'friday', 'since', 'i am', 'going', 'georgetown']",neu
"['bird', 'wire', 'one', 'song', 'learned', 'child', 'now', 'daddy', 'go', 'see', 'leonard', 'cohen']",neu
"['next', 'thursday', 'friday', 'play', 'maryland', 'new', 'york', 'first', 'real', 'game']",neu
"['arsenal', 'lady', 'ht', 'ffc', 'turbine', 'potsdam', 'women is', 'champion', 'league', 'last', 'leg', 'clash', 'borehamwood', '#wucl']",neu
"['thursday', 'night', 'just', 'wont', 'without', 'waterloo', 'road']",neu
"['harden', 'got', 'damn', 'maybe', 'lin', 'harden', 'can', 'get', 'rocket', 'playoff']",neu
"['community', 'cougar', 'town', 'friday', 'night', 'light', 'glee', 'mad', 'men', 'modern', 'family', 'six', 'feets', 'skin', 'terra', 'nova', 'o', 'wire']",neu
"['land', 'conservation', 'announcement', 'monday', 'gov', 'mitch', 'daniel', 'lt', 'gov', 'becky', 'skillman', 'will', 'make', 'lan', '...', '#nashville']",neu
"['ryan', 'reynolds', 'may', 'back', 'prequel', 'sequel', 'safe', 'house', 'without', 'denzel', 'washington', 'script', 'work']",neu
"['oh', 'hey', 'another', 'reason', 'it is', 'national', 'chocolate', 'day', 'sunday', ':d']",pos
"['dinner', 'dad', 'tony', 'parker', 'last', 'second', 'game', 'winning', 'shot', 'great', 'night', '...', 'just', 'time', 'ruined', 'tomorrow', '...']",pos
"['post', 'night', 'anonymous', 'id', 'excv', 'fri', 'no', 'thread', 'like', 'watching', 'monkey', 'fuck', 'coconut']",neg
"['apple', 'ceo', 'apologizes', 'error-ridden', 'new', 'map', 'app', 'video', '):', 'apple', 'ceo', 'tim', 'cook', 'apologized', 'friday', 'company', '...']",pos
"['just', 'got', 'completely', 'utterly', 'lost', '..', 'it is', 'not', 'like', 'viable', 'option', 'everyone', 'knew', 'parker is', 'shot']",neg
"['congrats', 'dj is', 'grade', 'team', 'going', 'superbowl', 'i will', 'cheering']",pos
"['two', 'luke', 'austen', 'dickens', 'playing', 'nelson', 'bay', 'digger', 'club', 'friday', 'go', 'check', 'em', 'live', 'area', '..']",neu
"['yes', 'thank', 'janine', 'saw', 'kelsey', 'grammer', 'wed', 'night', 'sag', 'did not', 'talk', 'politics', 'let is', 'take', 'hollywood', 'back']",pos
"['official', 'release', 'now', 'rmx is', 'haze', 'northern', 'light', 'instrumentals']",neu
"['big', 'game', 'tomorrow', 'away', 'v', 'knicks', 'msg', 'personally', 'think', 'knicks', 'will', 'win', '...', 'first', 'game', 'msg', 'crowd', 'sandy', 'disaster', '...']",pos
"['lot', 'rumor', 'oiler', 'said', 'want', 'leopold', 'adam', 'sekera', 'pysyk', 'sekera', 'adam', 'leopold', 'adam', 'sam', 'gagner', 'know']",neu
"['second', 'last', 'show', 'season', 'annual', 'gift', 'art', 'artist', '#kanata', 'civic', '#art', '#gallery', 'stop']",neu
"['i am', 'assuming', 'heb', 'ran', 'candy', 'people', 'decided', 'give', 'pizza', 'instead', 'busier', 'super', 'bowl', 'sunday', 'today']",neg
"['goodnight', 'big', 'day', 'tomorrow', 'i am', 'school', 'argentina', 'time', 'stay', 'mallin', 'tomorrow', 'i will', 'tell']",pos
"['today', 'national', 'kissing', 'day', 'coz', 'it is', 'no', 'work', 'day', 'tomorrow']",pos
"['come', 'meet', 'member', 'dawgs', 'athens', 'weekend', 'red', 'zone', 'friday', 'coach', 'vince', '...']",neu
"['time', 'tomorrow', 'night', 'ill', 'partying', 'chapel', 'hill', 'happy', '#cantwait']",pos
"['victor', 'cruz', 'isnt', 'today', '...', 'know', 'he will', 'get', 'together', 'half']",neu
"['people', 'left', 'world', 'one', 'bill', 'murray', '...', 'there is', 'people', '...', 'who is']",neu
"['dublin is', 'street', 'pub', 'come', 'join', 'u', 'open', 'mic', 'thursday', 'party', 'continues', 'dublin', 's', 'street', 'pub', 'cont']",neu
"['oh', 'man', 'thought', 'deadline', 'act', 'tomorrow', 'bless']",neu
"['movie', 'night', 'vow']",neu
"['tt', 'will', 'participate', 'love', 'asia', 'tomorrow', 'pm', 'kst', 'kb', 'will', 'broadcast', 'program', 'pm', 'kst', 'kb', 'world']",neu
"['milan-genoa', 'rossoneri', 'milanello', 'player', 'called', 'milan-genoa', 'tomorrow', 'san', 'siro', 's', '...']",neu
"['addicted', 'act', 'just', 'took', 'one', 'saturday', 'just', 'signed', 'third', 'test']",neu
"['hour', 'know', 'im', 'gonna', 'see', 'boy', 'live', 'may', 'omgg', 'im', 'sooo', 'scared', 'tomorrow']",neg
"['obama', 'win', 'quite', 'sure', 'one', 'major', 'foreign', 'policy', 'hit', 'successful', 'resumption', 'talk', 'tehran']",pos
"['awesome', 'response', 'guy', 'correct', 'answer', 'sam', 'gagner', 'brendan', 'smith', 'will', 'put', 'draw', 'coming', 'thursday', '#jt']",pos
"['not', 'want', 'tip', 'hand', '...', 'will', 'move', 'portfolio is', 'tomorrow', 'morning', 'cst', 'home', 'run', 'follow']",neu
"['hey', 'channing', 'tony', 'provias', 'aberdeen', 'hope', 'get', 'sack', 'murray', 'sat']",pos
"['lorenzo', 'beasley', 'killed', 'july', 'last', 'year', 'corner', 'king', 'dr', '#mile']",neg
